收费门架信息,,,,
序号,收费门架编号,门架名称,纬度,经度
163,G000237010000310030,济绕济泰枢纽-济南南门架,36.54869004,117.04321057
164,G000237010000410040,济南南-市中门架,36.559179,116.940492
165,G000237010000510050,市中-殷家村枢纽门架,36.574709,116.889408
166,G000237010000820080,殷家村枢纽-市中门架,36.574796,116.888705
167,G000237010000920090,市中-济南南门架,36.559290,116.939417
168,G000237010001020100,济南南-济绕济泰枢纽门架,36.54842274,117.042466
169,G000237010001120110,济绕济泰枢纽-港沟枢纽门架,36.587319,117.154549
170,G000237010001220120,港沟枢纽-济南东门架,36.659090,117.207413
171,G000237010001310010,济南南-济南南虚收费门架,36.548070,117.036300
172,G000237010001320010,济南南虚-济南南收费门架,36.548070,117.036300
173,G000237010001410010,市中-市中虚收费门架,36.574594,116.884186
174,G000237010001420010,市中虚-市中收费门架,36.574594,116.884186
175,G000237011000120050,济阳北-临邑门架,37.074275,117.036946
176,G000237011000220060,济阳西-济阳北门架,36.986651,117.057840
177,G000237011000320070,济乐济东立交-济阳西门架,36.954154,117.062811
178,G000237011000420080,济乐青银立交-济乐济东立交门架,36.930611,117.074554
179,G000237011000510040,济乐济东立交-济乐青银立交门架,36.931288,117.074036
180,G000237011000610030,济阳西-济乐济东立交门架,36.962149,117.059593
181,G000237011000710020,济阳北-济阳西门架,36.986999,117.057647
182,G000237011000810010,临邑-济阳北门架,37.075254,117.036308
183,G000237011000910010,济阳西-济阳西虚收费门架,36.985991,117.051803
184,G000237011000920010,济阳西虚-济阳西收费门架,36.985991,117.051803
185,G000237011001010010,济阳北-济阳北虚收费门架,37.073716,117.031033
186,G000237011001020010,济阳北虚-济阳北收费门架,37.073716,117.031033
187,G000237012000310030,莱芜东-莱芜南门架,36.188831,117.724686
188,G000237012001020100,莱芜南-莱芜东门架,36.18830001727206,117.71852845431349
189,G000237012001710010,莱芜南-莱芜南虚收费门架,36.188768,117.718682
190,G000237012001720010,莱芜南虚-莱芜南收费门架,36.188768,117.718682
191,G000237013000410040,化马湾-新泰西门架,36.054358,117.450024
192,G000237013000510050,新泰西-新泰南门架,35.93553848,117.54392154
193,G000237013001220120,新泰南-新泰西门架,35.93493487,117.54441247
194,G000237013001320130,新泰西-化马湾门架,36.05392279,117.45082134
195,G000237013002310010,化马湾-化马湾虚收费门架,36.054018,117.444099
196,G000237013002320010,化马湾虚-化马湾收费门架,36.054018,117.444099
197,G000237013002410010,新泰西-新泰西虚收费门架,36.053762,117.444596
198,G000237013002420010,新泰西虚-新泰西收费门架,36.053762,117.444596
199,G000237013002510010,新泰南-新泰南虚收费门架,35.842756,117.685725
200,G000237013002520010,新泰南虚-新泰南收费门架,35.842756,117.685725
201,G000237013002610220,泰新枢纽-徂徕枢纽收费门架,36.124886,117.286816
202,G000237013002620230,徂徕枢纽-泰新枢纽收费门架,36.124891,117.286833
203,G000237013002710240,徂徕枢纽-化马湾虚收费门架,0.000000,0.000000
204,G000237013002720250,化马湾虚-徂徕枢纽收费门架,0.000000,0.000000
205,G000237013002810260,新泰南虚-新汶枢纽收费门架,35.842756,117.685725
206,G000237013002920270,新汶枢纽-新泰南虚收费门架,35.842654,117.686291
207,G000237013003010280,新汶枢纽-博莱枢纽收费门架,35.820584,117.722547
208,G000237013003120290,博莱枢纽-新汶枢纽收费门架,35.820836,117.722738
209,G000237014000110010,莱芜东-莱芜东虚收费门架,36.193000,117.738000
210,G000237014000220020,莱芜东虚-莱芜东收费门架,36.193000,117.738000
211,G000237014000310010,钢城-钢城虚收费门架,36.075000,117.787000
212,G000237014000420020,钢城虚-钢城收费门架,36.075000,117.787000
213,G000237014000710010,莱芜枢纽-莱芜东虚收费门架,36.226000,117.747000
214,G000237014000820020,莱芜东虚-莱芜枢纽收费门架,36.224000,117.746000
215,G000237014000910010,莱芜东虚-钢城枢纽收费门架,36.177415,117.742586
216,G000237014001020020,钢城枢纽-莱芜东虚收费门架,36.176353,117.424810
217,G000237014001110010,钢城枢纽-钢城虚收费门架,36.097608,117.787346
218,G000237014001220020,钢城虚-钢城枢纽收费门架,36.097161,117.788177
219,G000237014001310010,钢城虚-新泰北虚收费门架,36.061349,117.795200
220,G000237014001420020,新泰北虚-钢城虚收费门架,36.060882,117.795727
221,G000237015000110010,新泰北-新泰北虚收费门架,0.000000,0.000000
222,G000237015000220020,新泰北虚-新泰北收费门架,0.000000,0.000000
223,G000237015000310010,新泰东-新泰东虚收费门架,0.000000,0.000000
224,G000237015000420020,新泰东虚-新泰东收费门架,0.000000,0.000000
225,G000237015000710010,新泰北虚-新泰东虚收费门架,35.920377,117.827474
226,G000237015000820020,新泰东虚-新泰北虚收费门架,35.915022,117.865348
227,G000237015000910010,新泰东虚-博莱枢纽收费门架,0.000000,0.000000
228,G000237015001020020,博莱枢纽-新泰东虚收费门架,0.000000,0.000000
229,G000337001000110010,京台鲁冀-德州北枢纽门架,37.510053,116.395350
230,G000337001000110030,京台鲁冀-德州北枢纽门架,37.507896,116.394727
231,G000337001000110050,京台鲁冀-德州北枢纽门架,37.509803,116.395262
232,G000337001000110070,京台鲁冀-德州北枢纽门架,37.507864,116.394725
233,G000337001000210030,德州北枢纽-德州门架,37.437788,116.397342
234,G000337001000310040,德州-德州南门架,37.396574,116.386419
235,G000337001000510060,平原-平原南门架,37.146844,116.562490
236,G000337001000610070,平原南-京台德禹界门架,0.000000,0.000000
237,G000337001000720080,京台德禹界-平原南门架,0.000000,0.000000
238,G000337001000820090,平原南-平原门架,37.143900,116.564542
239,G000337001001020110,德州南-德州门架,37.395850,116.386671
240,G000337001001120120,德州-德州北枢纽门架,37.436840,116.397405
241,G000337001001220020,德州北枢纽-京台鲁冀门架,37.506867,116.394631
242,G000337001001220040,德州北枢纽-京台鲁冀门架,37.509434,116.395358
243,G000337001001220060,德州北枢纽-京台鲁冀门架,37.503222,116.393641
244,G000337001001220080,德州北枢纽-京台鲁冀门架,37.506874,116.394669
245,G000337001001310010,德州-德州虚门架,0.000000,0.000000
246,G000337001001420010,德州虚-德州门架,0.000000,0.000000
247,G000337001001510010,德州南-德州南虚门架,0.000000,0.000000
248,G000337001001620010,德州南虚-德州南门架,0.000000,0.000000
249,G000337001001710010,平原-平原虚门架,0.000000,0.000000
250,G000337001001820010,平原虚-平原门架,0.000000,0.000000
251,G000337001001910010,平原南-平原南虚门架,0.000000,0.000000
252,G000337001002020010,平原南虚-平原南门架,0.000000,0.000000
253,G000337001002110010,德州南虚-孙家集立交收费门架,37.366115,116.395756
254,G000337001002120020,孙家集立交-德州南虚收费门架,37.364595,116.396254
255,G000337001002210010,孙家集立交-平原虚收费门架,37.238898,116.489751
256,G000337001002220020,平原虚-孙家集立交收费门架,37.235615,116.492479
257,G000337002000110010,泰山枢纽-满庄门架,36.050073,117.091586
258,G000337002000210020,满庄-宁阳东门架,36.014841,117.097239
259,G000337002000520050,宁阳东-满庄门架,36.014367,117.097711
260,G000337002000620060,满庄-泰山枢纽门架,36.049558,117.092037
261,G000337002000710010,满庄-满庄虚门架,0.000000,0.000000
262,G000337002000820010,满庄虚-满庄门架,0.000000,0.000000
263,G000337002000910010,宁阳东-宁阳东虚门架,0.000000,0.000000
264,G000337002001020010,宁阳东虚-宁阳东门架,0.000000,0.000000
265,G000337002001110050,宁阳东虚-磁窑枢纽收费门架,35.894502,117.060898
266,G000337002001220060,磁窑枢纽-宁阳东虚收费门架,35.877216,117.065074
267,G000337002001310070,磁窑枢纽-京台泰曲界收费门架,0.000000,0.000000
268,G000337002001420080,京台泰曲界-磁窑枢纽收费门架,0.000000,0.000000
269,G000337003000110010,京台泰曲界-曲阜北门架,35.878357,117.065077
270,G000337003000210010,曲阜北-曲阜门架,35.751859,117.048229
271,G000337003000310020,曲阜-息陬枢纽门架,35.708314,117.055142
272,G000337003000410030,息陬枢纽-邹城门架,0.000000,0.000000
273,G000337003000510040,邹城-峄山门架,35.319953,117.079784
274,G000337003000610050,峄山虚-滕州北枢纽收费门架,35.288866,117.093411
275,G000337003000720060,滕州北枢纽-峄山虚收费门架,35.288832,117.094135
276,G000337003000820070,峄山-邹城门架,35.319013,117.080385
277,G000337003000920080,邹城-息陬枢纽门架,0.000000,0.000000
278,G000337003001020090,息陬枢纽-曲阜门架,35.577527,117.043956
279,G000337003001120100,曲阜-曲阜北门架,35.707518,117.055504
280,G000337003001220010,曲阜北-京台泰曲界门架,35.751057,117.048711
281,G000337003001310010,曲阜北-曲阜北虚门架,0.000000,0.000000
282,G000337003001420010,曲阜北虚-曲阜北门架,0.000000,0.000000
283,G000337003001510010,曲阜-曲阜虚门架,0.000000,0.000000
284,G000337003001620010,曲阜虚-曲阜门架,0.000000,0.000000
285,G000337003001710010,邹城-邹城虚门架,0.000000,0.000000
286,G000337003001820010,邹城虚-邹城门架,0.000000,0.000000
287,G000337003001910010,峄山-峄山虚门架,0.000000,0.000000
288,G000337003002020010,峄山虚-峄山门架,0.000000,0.000000
289,G000337003002510050,息陬枢纽-邹城北虚收费门架,35.291000,117.021000
290,G000337003002520060,邹城北虚-息陬枢纽收费门架,35.290000,117.021000
291,G000337003002610070,邹城北虚-邹城虚收费门架,35.271000,117.026000
292,G000337003002620080,邹城虚-邹城北虚收费门架,35.271000,117.030000
293,G000337003002710010,邹城北-邹城北虚收费门架,35.404000,117.067000
294,G000337003002720010,邹城北虚-邹城北收费门架,35.404000,117.067000
295,G000337004000110010,济南-济南北门架,36.721029,117.030944
296,G000337004000210020,济南北-天桥门架,36.724030,116.959458
297,G000337004000310030,天桥-槐荫枢纽门架,36.721101,116.904434
298,G000337004000410060,槐荫枢纽-国际医学中心门架,0.000000,0.000000
299,G000337004000510070,国际医学中心-济南西门架,0.000000,0.000000
300,G000337004000610080,济南西-殷家村枢纽门架,0.000000,0.000000
301,G000337004000710090,殷家村枢纽-崮山门架,0.000000,0.000000
302,G000337004000810100,崮山-万德门架,0.000000,0.000000
303,G000337004000910110,万德-京台济泰界门架,0.000000,0.000000
304,G000337004001020140,京台济泰界-万德门架,0.000000,0.000000
305,G000337004001120150,万德-崮山门架,0.000000,0.000000
306,G000337004001220160,崮山-殷家村枢纽门架,0.000000,0.000000
307,G000337004001320170,殷家村枢纽-济南西门架,0.000000,0.000000
308,G000337004001420180,济南西-国际医学中心门架,0.000000,0.000000
309,G000337004001520190,国际医学中心-槐荫枢纽门架,0.000000,0.000000
310,G000337004001620200,槐荫枢纽-天桥门架,36.721156,116.901475
311,G000337004001720210,天桥-济南北门架,36.723573,116.958178
312,G000337004001820220,济南北-济南门架,36.720027,117.029783
313,G000337004001910010,国际医学中心-国际医学中心虚门架,0.000000,0.000000
314,G000337004002020010,国际医学中心虚-国际医学中心门架,0.000000,0.000000
315,G000337004002110010,济南西-济南西虚门架,0.000000,0.000000
316,G000337004002220010,济南西虚-济南西门架,0.000000,0.000000
317,G000337004002310010,崮山-崮山虚门架,0.000000,0.000000
318,G000337004002420010,崮山虚-崮山门架,0.000000,0.000000
319,G000337004002510010,万德-万德虚门架,0.000000,0.000000
320,G000337004002620010,万德虚-万德门架,0.000000,0.000000
321,G000337004002710010,天桥-天桥虚收费门架,36.721108,116.898598
322,G000337004002720010,天桥虚-天桥收费门架,36.721108,116.898598
323,G000337004002810010,济南北-济南北虚收费门架,36.723943,116.953919
324,G000337004002820010,济南北虚-济南北收费门架,36.723943,116.953919
325,G000337004002910010,济南-济南虚收费门架,36.751430,117.090998
326,G000337004002920010,济南虚-济南收费门架,36.751430,117.090998
327,G000337005000110010,平原南虚-禹城虚收费门架,37.117546,116.585279
328,G000337005000210010,禹城-齐河北枢纽门架,0.000000,0.000000
329,G000337005000310020,齐河北枢纽-齐河门架,36.852945,116.770690
330,G000337005000410010,齐河-池庄枢纽门架,36.827506,116.786516
331,G000337005000510030,池庄枢纽-齐河生态城门架,0.000000,0.000000
332,G000337005000610010,齐河生态城-黄河二桥起点门架,0.000000,0.000000
333,G000337005000720010,黄河二桥起点-齐河生态城门架,0.000000,0.000000
334,G000337005000820040,齐河生态城-池庄枢纽门架,0.000000,0.000000
335,G000337005000920010,池庄枢纽-齐河门架,36.827040,116.787281
336,G000337005001020050,齐河-齐河北枢纽门架,36.852368,116.771411
337,G000337005001120060,齐河北枢纽-禹城门架,0.000000,0.000000
338,G000337005001220010,禹城虚-平原南虚收费门架,37.115238,116.587564
339,G000337005001310010,禹城-禹城虚门架,0.000000,0.000000
340,G000337005001420010,禹城虚-禹城门架,0.000000,0.000000
341,G000337005001510010,齐河-齐河虚门架,0.000000,0.000000
342,G000337005001620010,齐河虚-齐河门架,0.000000,0.000000
343,G000337005001710010,齐河生态城-齐河生态城虚门架,0.000000,0.000000
344,G000337005001820010,齐河生态城虚-齐河生态城门架,0.000000,0.000000
345,G000337005001910010,禹城虚-禹城东虚收费门架,36.958883,116.684946
346,G000337005001920020,禹城东虚-禹城虚收费门架,36.958610,116.685423
347,G000337005002010030,禹城东虚-齐河北枢纽收费门架,36.896065,116.724240
348,G000337005002020040,齐河北枢纽-禹城东虚收费门架,36.894187,116.726515
349,G000337005002110050,禹城东-禹城东虚收费门架,36.916692,116.705930
350,G000337005002120060,禹城东虚-禹城东收费门架,36.916692,116.705930
351,G000337006000110050,黄河二桥起点-槐荫枢纽门架,0.000000,0.000000
352,G000337006000220040,槐荫枢纽-黄河二桥起点门架,0.000000,0.000000
353,G000337007000110120,京台济泰界-泰安西门架,0.000000,0.000000
354,G000337007000210010,泰安西-泰山枢纽门架,0.000000,0.000000
355,G000337007000420130,泰安西-京台济泰界门架,0.000000,0.000000
356,G000337007000520010,泰山枢纽-泰安西门架,0.000000,0.000000
357,G000337007000710010,泰安西-泰安西虚门架,0.000000,0.000000
358,G000337007000820010,泰安西虚-泰安西门架,0.000000,0.000000
359,G000337008000210020,滕州-滕州南门架,35.132116,117.191463
360,G000337008000410050,枣庄-临枣京台枢纽门架,0.000000,0.000000
361,G000337008000510060,临枣京台枢纽-峄城门架,34.638763,117.401183
362,G000337008000610070,峄城虚-京台鲁苏虚门架,34.559006,117.424853
363,G000337008000610080,峄城虚-京台鲁苏虚门架,34.554967,117.425365
364,G000337008000920090,京台鲁苏虚-峄城虚门架,34.540260,117.425388
365,G000337008000920100,京台鲁苏虚-峄城虚门架,34.548467,117.425900
366,G000337008001020110,峄城-临枣京台枢纽门架,34.638763,117.401183
367,G000337008001120120,临枣京台枢纽-枣庄门架,0.000000,0.000000
368,G000337008001320150,滕州南-滕州门架,35.132116,117.191463
369,G000337008001510170,木石-滕州南虚门架,34.984369,117.264503
370,G000337008001620180,滕州南虚-木石门架,34.984651,117.263786
371,G000337008001710010,滕州-滕州虚门架,0.000000,0.000000
372,G000337008001820010,滕州虚-滕州门架,0.000000,0.000000
373,G000337008001910010,滕州南-滕州南虚门架,0.000000,0.000000
374,G000337008002020010,滕州南虚-滕州南门架,0.000000,0.000000
375,G000337008002110010,枣庄-枣庄虚门架,0.000000,0.000000
376,G000337008002220010,枣庄虚-枣庄门架,0.000000,0.000000
377,G000337008002310010,峄城-峄城虚门架,0.000000,0.000000
378,G000337008002420010,峄城虚-峄城门架,0.000000,0.000000
379,G000337008002510010,木石-木石虚收费门架,34.897144,117.530795
380,G000337008002520010,木石虚-木石收费门架,34.897144,117.530795
381,G000337008002710010,滕州北枢纽-滕州虚门架,35.155132,117.167725
382,G000337008002720010,滕州虚-滕州北枢纽门架,35.152291,117.169871
383,G000337008002810010,滕州南虚-枣庄北枢纽门架,34.981354,117.218086
384,G000337008002820010,枣庄北枢纽-滕州南虚门架,34.981352,117.218084
385,G000337008002910010,枣庄北枢纽-枣庄虚门架,34.854036,117.261813
386,G000337008002920010,枣庄虚-枣庄北枢纽门架,34.854025,117.261824
387,G000337008003010010,枣庄虚-枣庄南虚收费门架,34.755913,117.301146
388,G000337008003020010,枣庄南虚-枣庄虚收费门架,34.755909,117.301155
389,G000337008003110010,枣庄南虚-微山湖虚收费门架,34.726681,117.313024
390,G000337008003120010,微山湖虚-枣庄南虚收费门架,34.726666,117.313011
391,G000337008003210010,微山湖虚-临枣京台枢纽收费门架,34.703087,117.328363
392,G000337008003220010,临枣京台枢纽-微山湖虚收费门架,34.703092,117.328365
393,G000337008003310010,枣庄北-枣庄北枢纽收费门架,34.862869,117.255298
